data_source,matrix_size,n,m,rank,sampler,seed,final_error,final_relative_error,total_runtime,avg_iter_time,total_nnls_time,total_qubo_build_time,total_annealing_time,total_postprocess_time,num_qubo_solves,avg_qubo_solve_time,feasible,note
movielens,50x50,50,50,5,path_integral,42,65.83467602545325,0.3639553060103885,1.934026375063695,0.128935091670913,0.00565591617487371,0.008893824997358024,1.918265176587738,0.000554364756681025,750,0.002557686902116984,,
movielens,50x50,50,50,5,path_integral,43,67.16071421673142,0.3712860724821718,1.97460866603069,0.13164057773537935,0.005433500977233052,0.009268501191399992,1.9586126874201,0.0005876981886103749,750,0.0026114835832268,,
movielens,50x50,50,50,5,path_integral,44,66.39045552834597,0.3670278342168221,1.952895666938275,0.13019304446255167,0.005628456128761172,0.008675207500346005,1.9373722235905007,0.0005335641326382756,750,0.002583162964787334,,
movielens,100x100,100,100,2,path_integral,42,171.82539173128418,0.5135756102839469,1.1550517909927294,0.07700345273284863,0.008213039953261614,0.008227101876400411,1.1369913119124249,0.0007811799878254533,1500,0.0007579942079416166,,
movielens,100x100,100,100,2,path_integral,43,172.70560705369215,0.516206520167708,1.0465350840240717,0.06976900560160477,0.007967997924424708,0.0072154870722442865,1.0297710630111396,0.0006968885427340865,1500,0.0006865140420074264,,
movielens,100x100,100,100,2,path_integral,44,172.71111910255152,0.5162229953453772,1.0358187080128118,0.06905458053418746,0.00782232906203717,0.0069809716660529375,1.0196575638838112,0.0006647143745794892,1500,0.0006797717092558741,,
movielens,100x100,100,100,5,path_integral,42,157.34469222727782,0.4702936831474789,3.575158499996178,0.2383438999997452,0.01249366591218859,0.012892245431430638,3.548077238840051,0.0007153010228648782,1500,0.0023653848258933675,,
movielens,100x100,100,100,5,path_integral,43,156.3171901448513,0.4672225421261595,3.6773478330578655,0.2451565222038577,0.012630455894395709,0.014210504363290966,3.6487840516492724,0.0008169320644810796,1500,0.002432522701099515,,
movielens,100x100,100,100,5,path_integral,44,156.92551821453387,0.4690407976033748,3.6450156250502914,0.24300104167001943,0.012638125917874277,0.013671543914824724,3.617033230839297,0.0008072501514106989,1500,0.002411355487226198,,
feasibility,8x8,8,8,2,exact,42,9.064357607684615e-16,1.62660922646824e-16,0.010318125016056001,0.0006878750010704001,0.0006357090314850211,0.00043749890755862,0.009069076622836292,5.153717938810587e-05,120,7.557563852363576e-05,True,
feasibility,8x8,8,8,5,exact,42,2.6519286915232903e-15,1.9213202506109773e-16,0.013169875019229949,0.0008779916679486632,0.000738079659640789,0.000750992214307189,0.0115108632016927,5.053856875747442e-05,120,9.592386001410584e-05,True,
feasibility,10x10,10,10,2,exact,42,6.075000622166257e-16,9.484421575247273e-17,0.012057291925884783,0.0008038194617256522,0.0007232113275676966,0.0005297029856592417,0.010621742811053991,6.040686275810003e-05,150,7.081161874035994e-05,True,
feasibility,10x10,10,10,5,exact,42,2.330210854358529e-15,1.9168576106261054e-16,0.01703549991361797,0.0011356999942411978,0.000938915996812284,0.0009618332842364907,0.014924785937182605,6.724381819367409e-05,150,9.94985729145507e-05,True,
feasibility,12x12,12,12,2,exact,42,1.6128861472938657e-15,2.337227818143798e-16,0.014611458987928927,0.0009740972658619284,0.0008456700015813112,0.0006142073543742299,0.01294294255785644,7.482420187443495e-05,180,7.190523643253578e-05,True,
feasibility,12x12,12,12,5,exact,42,3.747645143212457e-15,2.73572816624062e-16,0.019836625084280968,0.0013224416722853979,0.0011058758245781064,0.0011475026840344071,0.017362906597554684,7.183139678090811e-05,180,9.646059220863713e-05,True,
feasibility,12x12,12,12,10,exact,42,4.97870352162503e-15,1.6639096772118841e-16,0.14682637504301965,0.009788425002867977,0.0017623333260416985,0.003080492955632508,0.14173610461875796,8.416036143898964e-05,180,0.0007874228034375442,True,
feasibility,15x15,15,15,2,exact,42,9.955076097815937e-16,1.0708552734870009e-16,0.017769125057384372,0.001184608337158958,0.001068419893272221,0.0007739086868241429,0.01568977569695562,8.665246423333883e-05,225,6.973233643091388e-05,True,
feasibility,15x15,15,15,5,exact,42,3.780151525526519e-15,2.303907942220671e-16,0.02397037495393306,0.0015980249969288706,0.0013567091664299369,0.0013721210416406393,0.02100698696449399,9.327963925898075e-05,225,9.336438650886218e-05,True,
feasibility,15x15,15,15,10,exact,42,6.742262948251188e-15,1.6850661943977353e-16,0.18474133301060647,0.012316088867373764,0.002279376145452261,0.003807617467828095,0.17835501488298178,0.00010690127965062857,225,0.0007926889550354746,True,
